epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,277.53,0.63113,0.63675,1.1205,0.96451,0.94873,0.96324,0.72996,0.72699,0.54,1.52526,0.00120265,0.00120265,0.00120265
98,280.144,0.6581,0.64926,1.13123,0.9475,0.95397,0.96604,0.74614,0.71157,0.56543,1.50909,0.00120029,0.00120029,0.00120029
99,282.789,0.68367,0.68277,1.14683,0.98688,0.97616,0.97507,0.7337,0.82246,0.61366,1.63409,0.00119793,0.00119793,0.00119793
100,285.429,0.70292,0.67387,1.14361,0.99432,0.97778,0.97511,0.72962,0.99602,0.69792,1.7596,0.00119557,0.00119557,0.00119557
101,288.028,0.68245,0.69751,1.15278,0.99652,0.97778,0.9752,0.72746,0.9207,0.49784,1.84225,0.00119322,0.00119322,0.00119322
102,290.648,0.676,0.62768,1.1297,0.99567,0.97778,0.97519,0.60763,1.47933,0.71045,2.81009,0.00119086,0.00119086,0.00119086
103,293.257,0.71696,0.67719,1.12489,0.97099,0.94438,0.97233,0.70945,0.90742,0.5292,1.72565,0.0011885,0.0011885,0.0011885
104,295.853,0.7218,0.70214,1.15466,0.8745,0.88889,0.8634,0.64097,0.8113,0.59529,1.63196,0.00118614,0.00118614,0.00118614
105,298.444,0.67941,0.66712,1.17069,0.93761,0.95556,0.96013,0.67638,0.88903,0.51927,1.74006,0.00118378,0.00118378,0.00118378
106,300.999,0.73777,0.72077,1.16935,0.99348,0.97778,0.97513,0.675,0.91733,0.51473,1.70988,0.00118143,0.00118143,0.00118143
107,303.672,0.72518,0.73441,1.17567,0.97778,0.9761,0.97493,0.68175,0.83549,0.55683,1.58643,0.00117907,0.00117907,0.00117907
108,306.279,0.72342,0.71074,1.16243,0.98682,0.97246,0.97509,0.66504,0.86852,0.59773,1.61324,0.00117671,0.00117671,0.00117671
109,308.887,0.67,0.68061,1.12328,0.95988,0.96343,0.97067,0.66851,0.87304,0.59164,1.59384,0.00117435,0.00117435,0.00117435
110,311.455,0.68476,0.63127,1.15907,0.98924,0.94359,0.97241,0.65721,0.94988,0.69238,1.64519,0.00117199,0.00117199,0.00117199
111,314.108,0.65705,0.67691,1.13822,0.99181,0.94359,0.97431,0.64652,1.04036,0.83104,1.70659,0.00116964,0.00116964,0.00116964
112,316.665,0.71367,0.70313,1.13978,0.97387,0.97778,0.97517,0.69129,0.92915,0.54751,1.6624,0.00116728,0.00116728,0.00116728
113,319.265,0.72725,0.73852,1.19774,0.97509,0.96497,0.97518,0.75351,0.8329,0.53564,1.58105,0.00116492,0.00116492,0.00116492
114,321.808,0.63684,0.64902,1.13672,0.98983,0.97443,0.97536,0.75118,0.79806,0.48585,1.59158,0.00116256,0.00116256,0.00116256
115,324.458,0.60664,0.64517,1.10019,0.99253,0.97778,0.97551,0.73362,0.8611,0.49367,1.68226,0.00116021,0.00116021,0.00116021
116,327.065,0.67007,0.68466,1.13979,0.98615,0.97778,0.97537,0.76392,0.86476,0.50432,1.71568,0.00115785,0.00115785,0.00115785
117,329.613,0.65756,0.66886,1.14763,0.98641,0.97778,0.97525,0.72135,0.87164,0.49421,1.73862,0.00115549,0.00115549,0.00115549
118,332.175,0.69717,0.65506,1.13417,0.96652,0.9769,0.97004,0.7297,0.8412,0.55412,1.62181,0.00115313,0.00115313,0.00115313
119,334.832,0.65654,0.62244,1.12466,0.96624,0.96427,0.96761,0.74714,0.77932,0.56769,1.53516,0.00115077,0.00115077,0.00115077
120,337.38,0.64455,0.63594,1.11688,0.98584,0.94526,0.97524,0.75646,0.74223,0.50759,1.506,0.00114842,0.00114842,0.00114842
121,340.02,0.68683,0.63543,1.13822,0.9765,0.95556,0.97365,0.77102,0.72034,0.47097,1.53539,0.00114606,0.00114606,0.00114606
122,342.652,0.67729,0.66663,1.12643,0.97101,0.97185,0.97523,0.74246,0.77779,0.49431,1.5912,0.0011437,0.0011437,0.0011437
123,345.237,0.65365,0.60866,1.11962,0.96882,0.97704,0.97521,0.73847,0.84101,0.47191,1.64337,0.00114134,0.00114134,0.00114134
124,347.822,0.63238,0.62976,1.11856,0.98429,0.97777,0.97519,0.72043,0.85776,0.46628,1.6363,0.00113898,0.00113898,0.00113898
125,350.5,0.62121,0.60124,1.11311,0.991,0.97778,0.97517,0.732,0.74767,0.44919,1.53929,0.00113663,0.00113663,0.00113663
126,353.069,0.61561,0.62123,1.11832,0.72974,0.96398,0.95855,0.71509,0.73874,0.93836,1.55584,0.00113427,0.00113427,0.00113427
127,355.709,0.63682,0.62351,1.1144,0.66895,0.97086,0.96662,0.72759,0.80156,0.89104,1.59421,0.00113191,0.00113191,0.00113191
128,358.336,0.63183,0.59396,1.13635,0.98225,0.97778,0.9751,0.70857,0.83911,0.6323,1.65473,0.00112955,0.00112955,0.00112955
129,360.932,0.63595,0.58053,1.11444,0.98016,0.96893,0.97512,0.72139,0.8643,0.68371,1.61786,0.0011272,0.0011272,0.0011272
130,363.497,0.64633,0.59088,1.13399,0.97322,0.94696,0.97498,0.72827,0.90159,0.6168,1.64994,0.00112484,0.00112484,0.00112484
131,366.162,0.5919,0.54552,1.08345,0.9871,0.94483,0.9746,0.7226,0.80729,0.57513,1.58429,0.00112248,0.00112248,0.00112248
132,368.746,0.59176,0.61122,1.11381,0.99143,0.95511,0.97508,0.72587,0.798,0.49166,1.59528,0.00112012,0.00112012,0.00112012
133,371.329,0.64506,0.57725,1.11165,0.99044,0.97778,0.97531,0.7272,0.80433,0.47716,1.58235,0.00111776,0.00111776,0.00111776
134,374.01,0.61336,0.59892,1.09488,0.99172,0.9756,0.97545,0.72031,0.80767,0.44426,1.63003,0.00111541,0.00111541,0.00111541
135,376.601,0.66382,0.62178,1.1241,0.97295,0.97778,0.97551,0.71994,0.8219,0.44592,1.64319,0.00111305,0.00111305,0.00111305
136,379.223,0.62144,0.56817,1.10674,0.98138,0.96923,0.97423,0.71753,0.86678,0.69484,1.66827,0.00111069,0.00111069,0.00111069
137,381.759,0.67801,0.62998,1.13885,0.99457,0.97136,0.97595,0.73353,0.85653,0.42421,1.63625,0.00110833,0.00110833,0.00110833
138,384.396,0.62174,0.60859,1.13658,0.99596,0.97535,0.97588,0.75686,0.80912,0.43021,1.58169,0.00110597,0.00110597,0.00110597
139,387.036,0.66456,0.62725,1.11324,0.98388,0.97231,0.97556,0.73201,0.81396,0.43705,1.63055,0.00110362,0.00110362,0.00110362
140,389.667,0.6369,0.61441,1.13312,0.98355,0.96923,0.97323,0.7397,0.78564,0.51002,1.58888,0.00110126,0.00110126,0.00110126
141,392.3,0.62277,0.59383,1.11982,0.98744,0.96923,0.97539,0.74478,0.75751,0.4671,1.59946,0.0010989,0.0010989,0.0010989
142,394.907,0.6011,0.55707,1.06213,0.9864,0.9749,0.97554,0.73185,0.8152,0.48348,1.66107,0.00109654,0.00109654,0.00109654
143,397.485,0.59931,0.57425,1.08721,0.91466,0.96258,0.96455,0.69751,0.87743,0.55957,1.68411,0.00109419,0.00109419,0.00109419
144,400.045,0.58751,0.56632,1.08529,0.97263,0.89204,0.96744,0.68023,0.85963,0.58058,1.73447,0.00109183,0.00109183,0.00109183
145,402.621,0.54239,0.51418,1.06253,0.92386,0.96217,0.97421,0.72004,0.83362,0.5254,1.72181,0.00108947,0.00108947,0.00108947
146,405.256,0.54877,0.48541,1.03944,0.93289,0.97778,0.97565,0.74709,0.74076,0.48396,1.67375,0.00108711,0.00108711,0.00108711
147,407.84,0.60093,0.55464,1.11817,0.94922,0.97778,0.97591,0.72789,0.77284,0.46348,1.70144,0.00108475,0.00108475,0.00108475
148,410.439,0.58014,0.54009,1.05799,0.98391,0.97778,0.97608,0.72633,0.81495,0.48138,1.7204,0.0010824,0.0010824,0.0010824
149,413.069,0.61557,0.55566,1.09523,0.98214,0.97778,0.97583,0.75016,0.79774,0.45575,1.68389,0.00108004,0.00108004,0.00108004
150,415.718,0.59898,0.57512,1.11488,0.98628,0.97778,0.97576,0.75167,0.73629,0.44139,1.60197,0.00107768,0.00107768,0.00107768
151,418.836,0.58254,0.53486,1.0799,0.98742,0.97778,0.97579,0.73183,0.77634,0.42973,1.60513,0.00107532,0.00107532,0.00107532
152,421.402,0.57502,0.53985,1.09211,0.9885,0.97778,0.97582,0.75095,0.76167,0.44335,1.56268,0.00107296,0.00107296,0.00107296
153,423.993,0.58408,0.56654,1.08217,0.9953,0.97778,0.97576,0.76694,0.73701,0.43324,1.53125,0.00107061,0.00107061,0.00107061
154,426.634,0.59184,0.56579,1.0699,0.99684,0.97778,0.97569,0.77407,0.68146,0.38582,1.50749,0.00106825,0.00106825,0.00106825
155,429.26,0.63064,0.53246,1.11185,0.99667,0.97778,0.97569,0.77616,0.66993,0.3977,1.52721,0.00106589,0.00106589,0.00106589
156,431.878,0.59239,0.55055,1.05353,0.99531,0.97778,0.97566,0.75458,0.72879,0.39138,1.58152,0.00106353,0.00106353,0.00106353
157,434.5,0.5918,0.53213,1.08116,0.99668,0.97778,0.97584,0.74225,0.75071,0.42306,1.58365,0.00106118,0.00106118,0.00106118
158,437.144,0.63348,0.54789,1.15691,0.99399,0.97778,0.97589,0.74762,0.70098,0.36307,1.55742,0.00105882,0.00105882,0.00105882
159,439.798,0.57252,0.47888,1.06799,0.97474,0.97778,0.9759,0.77054,0.66674,0.38217,1.51724,0.00105646,0.00105646,0.00105646
160,442.416,0.5564,0.49791,1.05902,0.98895,0.96072,0.97615,0.77862,0.66957,0.40701,1.5015,0.0010541,0.0010541,0.0010541
161,445.031,0.57328,0.544,1.12224,0.98463,0.92279,0.96991,0.76027,0.66474,0.44914,1.50419,0.00105174,0.00105174,0.00105174
162,447.57,0.57273,0.51012,1.08074,0.95441,0.8439,0.95995,0.77492,0.65361,0.49837,1.48088,0.00104939,0.00104939,0.00104939
163,450.16,0.59127,0.53404,1.06955,0.94015,0.92667,0.97258,0.77489,0.71002,0.46753,1.54157,0.00104703,0.00104703,0.00104703
164,452.79,0.55366,0.52021,1.07741,0.94015,0.96061,0.97375,0.75162,0.72817,0.45021,1.52549,0.00104467,0.00104467,0.00104467
165,455.31,0.54782,0.47723,1.02869,0.9311,0.96759,0.97239,0.74346,0.76866,0.43923,1.53439,0.00104231,0.00104231,0.00104231
166,457.914,0.52596,0.44794,1.04175,0.9647,0.97479,0.97237,0.76957,0.71972,0.41588,1.5502,0.00103995,0.00103995,0.00103995
167,460.538,0.56148,0.52503,1.04972,0.99414,0.97778,0.97607,0.74165,0.76241,0.41916,1.65335,0.0010376,0.0010376,0.0010376
168,463.173,0.55789,0.51153,1.06734,0.96596,0.92922,0.97506,0.71092,0.84388,0.45897,1.73816,0.00103524,0.00103524,0.00103524
169,465.759,0.58903,0.53741,1.0789,0.88262,0.8732,0.92906,0.69573,0.8056,0.50455,1.75739,0.00103288,0.00103288,0.00103288
170,468.401,0.59247,0.54194,1.11036,0.81398,0.85654,0.84236,0.60868,0.84444,0.60092,1.77716,0.00103052,0.00103052,0.00103052
171,470.987,0.58774,0.51361,1.07692,0.84187,0.84104,0.85478,0.60001,0.88287,0.57844,1.7562,0.00102817,0.00102817,0.00102817
172,473.511,0.55394,0.51529,1.06427,0.91354,0.94638,0.95366,0.68746,0.83292,0.51136,1.68353,0.00102581,0.00102581,0.00102581
173,476.099,0.57032,0.49221,1.07435,0.97365,0.96944,0.97562,0.75458,0.74085,0.48606,1.58909,0.00102345,0.00102345,0.00102345
174,478.742,0.57951,0.53251,1.08468,0.99141,0.96897,0.97552,0.75305,0.71765,0.43889,1.56453,0.00102109,0.00102109,0.00102109
175,481.369,0.56383,0.52438,1.05268,0.97786,0.97778,0.97558,0.75168,0.68614,0.39385,1.54209,0.00101873,0.00101873,0.00101873
176,484.01,0.53113,0.49462,1.05725,0.98893,0.97778,0.97574,0.74721,0.75547,0.41732,1.61518,0.00101638,0.00101638,0.00101638
177,486.589,0.56646,0.50748,1.06264,0.99088,0.97778,0.97571,0.76306,0.7742,0.4557,1.61576,0.00101402,0.00101402,0.00101402
178,489.154,0.52614,0.5027,1.03446,0.99559,0.97778,0.97578,0.78844,0.68535,0.34243,1.52044,0.00101166,0.00101166,0.00101166
179,491.764,0.55722,0.49492,1.07607,0.98856,0.97495,0.97606,0.77662,0.69426,0.37862,1.52072,0.0010093,0.0010093,0.0010093
180,494.356,0.53155,0.4899,1.05782,0.98864,0.96923,0.97591,0.78088,0.77198,0.43817,1.5712,0.00100694,0.00100694,0.00100694
181,496.956,0.52078,0.47708,1.04292,0.99231,0.97462,0.97631,0.763,0.74507,0.40943,1.559,0.00100459,0.00100459,0.00100459
182,499.608,0.51425,0.42498,1.04289,0.99474,0.97688,0.97688,0.74153,0.76565,0.36241,1.58155,0.00100223,0.00100223,0.00100223
